CustomerID,recency.x,frequency.x,monetary.x,return.x,negative_r_percentile.x,f_percentile.x,m_percentile.x,negative_r_zScore.x,f_zScore.x,m_zScore.x,r_score.x,f_score.x,m_score.x,recency.y,frequency.y,monetary.y,return.y,negative_r_percentile.y,f_percentile.y,m_percentile.y,negative_r_zScore.y,f_zScore.y,m_zScore.y,r_score.y,f_score.y,m_score.y,visitDate,Country
12346,133.23611111111111,1,77183.6,1,0.12955465587044535,0,0.9996319470003681,-1.3389670994328664,-0.5476359681280976,18.42534293442414,1,1,5,316.31666666666666,0,0,0,0.06146485093853515,0,0,-1.804486286286917,-0.3544991179341616,-0.21473405243780438,1,1,1,2011-01-18T10:01:00Z,United Kingdom
12347,54.206944444444446,84,1823.43,1,0.46337872653662127,0.8369525211630475,0.8774383511225616,0.1695089083886992,0.3179259842994593,0.14489233157779283,3,5,5,30.216666666666665,87,2261.75,1,0.6308428413691571,0.8016194331983806,0.8796466691203534,0.7316559402478172,0.1697701647825268,0.12340548850824633,4,5,5,2011-04-07T10:43:00Z,Others
12348,56.204166666666666,28,1487.24,1,0.45160103054839895,0.4920868605079131,0.8299595141700404,0.1313867576488632,-0.2660676221576875,0.06334123252678332,3,3,5,66.18333333333334,3,310,1,0.47589252852410746,0.3242546926757453,0.4460802355539198,0.4128283202511985,-0.3364208668059999,-0.16838796746233153,3,2,3,2011-04-05T10:47:00Z,Others
12350,117.98611111111111,17,334.4,1,0.1832903938167096,0.3257269046742731,0.38019874861980124,-1.0478814143679152,-0.3807806519974842,-0.21630827825570806,1,2,2,301.06666666666666,0,0,0,0.08759661391240339,0,0,-1.6693021934709273,-0.3544991179341616,-0.21473405243780438,1,1,1,2011-02-02T16:01:00Z,Others
12352,69.98125,38,1561.81,1,0.3706293706293706,0.5885167464114832,0.8373205741626795,-0.13158450400885852,-0.16178304957605413,0.08143000808891715,2,3,5,27.125,47,944.23,1,0.6543982333456018,0.6547662863452337,0.6864188443135811,0.7590621142558677,-0.07127318359296213,-0.0735683627075117,4,4,4,2011-03-22T16:08:00Z,Others
12353,11.9125,4,89,1,0.8487302171512697,0.05925653294074347,0.03459698196540302,0.9768077500642816,-0.5163505963536076,-0.2758360444210245,5,1,1,194.99305555555554,0,0,0,0.2804563857195436,0,0,-0.7290094138137693,-0.3544991179341616,-0.21473405243780438,2,1,1,2011-05-19T17:47:00Z,Others
12354,40.104166666666664,58,1079.4,1,0.5767390504232609,0.729112992270887,0.7541405962458594,0.4386968907338281,0.04678609558721257,-0.03559032473834563,3,4,4,223.18472222222223,0,0,0,0.229297018770703,0,0,-0.9789153078009245,-0.3544991179341616,-0.21473405243780438,2,1,1,2011-04-21T13:11:00Z,Spain
12355,22.07777777777778,13,459.4,1,0.7004048582995951,0.23776223776223776,0.49061464850938535,0.7827771372236279,-0.42249448103013754,-0.1859864739742714,4,2,3,205.15833333333333,0,0,0,0.25726904674273093,0,0,-0.8191198305096009,-0.3544991179341616,-0.21473405243780438,2,1,1,2011-05-09T13:49:00Z,Others
12356,53.13055555555555,57,2753.08,1,0.48030916451969086,0.7246963562753036,0.923813029076187,0.19005457377352053,0.03635763832904924,0.3704016543796934,3,4,5,13.372916666666667,2,58.349999999999994,1,0.7824806772175193,0.31431726168568275,0.3139492086860508,0.8809678788294125,-0.34244695051538715,-0.20601052321742105,4,2,2,2011-04-08T12:33:00Z,Portugal
12359,113.03472222222223,96,2386.41,1,0.19543614280456387,0.8634523371365477,0.9068825910931174,-0.9533713535977375,0.4430674713974193,0.2814568865726984,1,5,5,48.201388888888886,152,3986.17,1,0.5509753404490246,0.9101950680898049,0.9455281560544718,0.5722298184013461,0.5614656058926962,0.38121231384181054,3,5,5,2011-02-07T14:51:00Z,Others
